fundingTime,fundingRate,markPrice
2024-02-08 00:00:00+00:00,0.0001,2424.22000000
2024-02-08 08:00:00+00:00,7.523e-05,2420.32784230
2024-02-08 16:00:00+00:00,9.802e-05,2452.61854924
2024-02-09 00:00:00+00:00,7.752e-05,2418.77000000
2024-02-09 08:00:00+00:00,0.0001,2452.86000000
2024-02-09 16:00:00.001000+00:00,0.0001,2494.26447154
2024-02-10 00:00:00.001000+00:00,7.838e-05,2485.29861789
2024-02-10 08:00:00+00:00,9.615e-05,2494.18473171
2024-02-10 16:00:00+00:00,9.995e-05,2489.74925610
2024-02-11 00:00:00+00:00,0.0001,2499.41170383
2024-02-11 08:00:00.001000+00:00,0.0001,2526.93000000
2024-02-11 16:00:00+00:00,4.792e-05,2507.85180174
2024-02-12 00:00:00+00:00,5.076e-05,2506.11000000
2024-02-12 08:00:00+00:00,9.971e-05,2500.90000000
2024-02-12 16:00:00+00:00,0.0001,2557.33000000
2024-02-13 00:00:00+00:00,0.0001,2660.11561382
2024-02-13 08:00:00+00:00,0.0001,2650.26000000
2024-02-13 16:00:00+00:00,0.0001,2632.47865909
2024-02-14 00:00:00+00:00,0.0001,2640.72000000
2024-02-14 08:00:00+00:00,0.0001,2653.62000000
2024-02-14 16:00:00+00:00,0.00013082,2750.43993939
2024-02-15 00:00:00+00:00,0.0001,2776.15000000
2024-02-15 08:00:00+00:00,0.00012136,2773.76693182
2024-02-15 16:00:00+00:00,0.00015412,2827.40701515
2024-02-16 00:00:00+00:00,0.00011125,2824.38874621
2024-02-16 08:00:00+00:00,0.00011597,2817.08000000
2024-02-16 16:00:00+00:00,0.0001,2776.94585227
2024-02-17 00:00:00+00:00,0.0001,2803.37953030
2024-02-17 08:00:00+00:00,0.0001,2797.20009091
2024-02-17 16:00:00+00:00,0.00013519,2756.34000000
2024-02-18 00:00:00+00:00,0.0001,2787.41532509
2024-02-18 08:00:00+00:00,0.0001114,2802.28000000
2024-02-18 16:00:00+00:00,0.0001,2808.47803659
2024-02-19 00:00:00+00:00,0.0001,2882.59928788
2024-02-19 08:00:00+00:00,0.0001,2927.87375379
2024-02-19 16:00:00+00:00,0.0001,2910.37000000
2024-02-20 00:00:00+00:00,0.000265,2946.80467073
2024-02-20 08:00:00+00:00,0.0001,2923.08121591
2024-02-20 16:00:00+00:00,0.00025431,2926.77094318
2024-02-21 00:00:00+00:00,0.00020319,3017.13858333
2024-02-21 08:00:00+00:00,0.00011802,2941.49182955
2024-02-21 16:00:00+00:00,0.0001,2915.43171212
2024-02-22 00:00:00.001000+00:00,0.0001,2969.40000000
2024-02-22 08:00:00.001000+00:00,0.0001,2995.60000000
2024-02-22 16:00:00+00:00,0.0001,2988.32000000
2024-02-23 00:00:00+00:00,0.0001,2972.68395455
2024-02-23 08:00:00+00:00,0.0001,2935.00000000
2024-02-23 16:00:00+00:00,0.0001,2916.80000000
2024-02-24 00:00:00+00:00,0.0001,2922.82679924
2024-02-24 08:00:00.001000+00:00,0.0001,2964.89457197
2024-02-24 16:00:00+00:00,0.0001,2956.51000000
2024-02-25 00:00:00.001000+00:00,0.0001,2994.38000000
2024-02-25 08:00:00+00:00,0.00025856,3032.26183537
2024-02-25 16:00:00+00:00,0.0002111,3045.49000000
2024-02-26 00:00:00+00:00,0.00059496,3115.08441870
2024-02-26 08:00:00+00:00,0.00018258,3089.23470325
2024-02-26 16:00:00+00:00,0.00020172,3146.94853862
2024-02-27 00:00:00+00:00,0.00028561,3178.60000000
2024-02-27 08:00:00+00:00,0.00066751,3219.38048106
2024-02-27 16:00:00+00:00,0.00029666,3231.53806061
2024-02-28 00:00:00+00:00,0.00033546,3244.81687121
2024-02-28 08:00:00+00:00,0.00032021,3305.31056061
2024-02-28 16:00:00+00:00,0.00043581,3350.69000000
2024-02-29 00:00:00+00:00,0.00062574,3386.44542803
2024-02-29 08:00:00+00:00,0.00073381,3470.79112879
2024-02-29 16:00:00+00:00,0.00075727,3470.41000000
2024-03-01 00:00:00+00:00,0.0005304,3343.06219697
2024-03-01 08:00:00+00:00,0.00039096,3367.47848485
2024-03-01 16:00:00+00:00,0.00052446,3393.63000000
2024-03-02 00:00:00+00:00,0.00048856,3435.82000000
2024-03-02 08:00:00.001000+00:00,0.00057488,3433.70000000
2024-03-02 16:00:00+00:00,0.00055344,3421.37000000
2024-03-03 00:00:00+00:00,0.00039105,3424.23709091
2024-03-03 08:00:00+00:00,0.00038668,3394.38000000
2024-03-03 16:00:00+00:00,0.00037021,3424.31000000
2024-03-04 00:00:00+00:00,0.00041907,3491.58519697
2024-03-04 08:00:00+00:00,0.00028996,3480.37000000
2024-03-04 16:00:00+00:00,0.00050061,3562.64000000
2024-03-05 00:00:00+00:00,0.00038776,3629.16078030
2024-03-05 08:00:00+00:00,0.00101724,3678.01000000
2024-03-05 16:00:00+00:00,0.00082409,3786.70000000
2024-03-06 00:00:00+00:00,0.0002058,3555.01046970
2024-03-06 08:00:00.001000+00:00,0.00038362,3789.66000000
2024-03-06 16:00:00+00:00,0.00040511,3793.30100758
2024-03-07 00:00:00+00:00,0.00035699,3821.36624797
2024-03-07 08:00:00+00:00,0.00039169,3792.06000000
2024-03-07 16:00:00+00:00,0.00044218,3840.37000000
2024-03-08 00:00:00+00:00,0.00042931,3871.69000000
2024-03-08 08:00:00+00:00,0.00057985,3913.42878455
2024-03-08 16:00:00+00:00,0.00048823,3904.59637602
2024-03-09 00:00:00+00:00,0.00033201,3886.03000000
2024-03-09 08:00:00.001000+00:00,0.0003653,3928.65231818
2024-03-09 16:00:00+00:00,0.00035498,3920.24000000
2024-03-10 00:00:00+00:00,0.00034688,3908.15000000
2024-03-10 08:00:00+00:00,0.00049375,3948.48000000
2024-03-10 16:00:00+00:00,0.00029818,3886.00000000
2024-03-11 00:00:00+00:00,0.00029368,3880.96000000
2024-03-11 08:00:00+00:00,0.00067235,4013.23932317
2024-03-11 16:00:00+00:00,0.00064296,4020.36000000
2024-03-12 00:00:00+00:00,0.00068106,4070.52000000
2024-03-12 08:00:00+00:00,0.00037542,4030.06338258
2024-03-12 16:00:00+00:00,0.00048306,3991.80411017
2024-03-13 00:00:00+00:00,0.00046983,3983.90856818
2024-03-13 08:00:00.001000+00:00,0.00060121,4043.26235606
2024-03-13 16:00:00+00:00,0.00044242,3965.67000000
2024-03-14 00:00:00.001000+00:00,0.00040995,4008.67287750
2024-03-14 08:00:00+00:00,0.00050365,3966.67000000
2024-03-14 16:00:00+00:00,0.00035217,3848.40000000
2024-03-15 00:00:00+00:00,0.00040271,3885.00000000
2024-03-15 08:00:00+00:00,0.00023171,3756.08000000
2024-03-15 16:00:00+00:00,0.00033557,3691.55970455
2024-03-16 00:00:00+00:00,0.00018856,3743.72145455
2024-03-16 08:00:00+00:00,0.0002749,3742.92765152
2024-03-16 16:00:00+00:00,0.00028914,3681.49000000
2024-03-17 00:00:00+00:00,0.00013396,3525.57000000
2024-03-17 08:00:00+00:00,0.00011824,3474.48000000
2024-03-17 16:00:00+00:00,0.00030376,3629.96000000
2024-03-18 00:00:00+00:00,0.00017304,3646.99000000
2024-03-18 08:00:00+00:00,0.00026393,3628.86566667
2024-03-18 16:00:00.001000+00:00,0.00029608,3527.93000000
2024-03-19 00:00:00+00:00,0.00028148,3522.92542045
2024-03-19 08:00:00+00:00,0.00023311,3361.60000000
2024-03-19 16:00:00.001000+00:00,0.00013469,3304.63000000
2024-03-20 00:00:00+00:00,0.00016096,3161.03000000
2024-03-20 08:00:00.004000+00:00,0.0001,3220.02000000
2024-03-20 16:00:00+00:00,0.0001,3294.56567026
2024-03-21 00:00:00+00:00,0.00019507,3517.80000000
2024-03-21 08:00:00+00:00,0.00013771,3518.80000000
2024-03-21 16:00:00+00:00,0.00017743,3499.52586742
2024-03-22 00:00:00+00:00,0.00022775,3495.16000000
2024-03-22 08:00:00+00:00,0.00023317,3514.12125379
2024-03-22 16:00:00+00:00,0.00016092,3351.01666667
2024-03-23 00:00:00+00:00,0.00010552,3337.90121591
2024-03-23 08:00:00+00:00,0.00012459,3367.62000000
2024-03-23 16:00:00+00:00,0.00013906,3407.55015152
2024-03-24 00:00:00+00:00,0.00012767,3330.83000000
2024-03-24 08:00:00+00:00,0.00017907,3344.28006818
2024-03-24 16:00:00+00:00,0.00017171,3399.54067424
2024-03-25 00:00:00+00:00,0.00020242,3456.55247727
2024-03-25 08:00:00.001000+00:00,0.00011009,3446.71000000
2024-03-25 16:00:00+00:00,0.00022958,3583.72524242
2024-03-26 00:00:00+00:00,0.00039028,3592.94000000
2024-03-26 08:00:00+00:00,0.00018,3637.47000000
2024-03-26 16:00:00+00:00,0.00026242,3595.92137879
