idx,time_utc,side,tier,p_main,p3,p4,p5,p_opp_3,close,high,low,hit_3,hit_4,hit_5
184,2025-11-13 12:00,LONG,C_signal,0.63,0.63,0.497,0.496,0.004,99692.02,103483.83,98000.4,0,0,0
185,2025-11-16 12:00,LONG,C_signal,0.678,0.678,0.601,0.497,0.005,94261.44,95900.0,93005.55,0,0,0
186,2025-11-18 00:00,LONG,A_sniper,0.939,0.939,0.915,0.792,0.003,91517.82,92357.51,89253.78,1,1,0
187,2025-11-19 12:00,LONG,A_sniper,0.903,0.903,0.815,0.809,0.004,91554.96,92384.61,88608.0,0,0,0
188,2025-11-21 12:00,LONG,A_sniper,0.922,0.922,0.898,0.788,0.004,85129.43,85572.82,80600.0,1,1,1
189,2025-11-23 12:00,SHORT,F_min,0.324,0.324,0.312,0.329,0.004,86830.0,88127.64,86271.1,0,0,0
190,2025-11-24 12:00,LONG,C_signal,0.666,0.666,0.658,0.588,0.186,88300.01,89228.0,85272.0,1,1,1
191,2025-11-28 12:00,SHORT,A_sniper,0.81,0.81,0.732,0.636,0.216,90890.7,93092.0,90180.63,1,1,1
192,2025-11-29 12:00,LONG,E_weak,0.468,0.468,0.417,0.425,0.005,90802.44,91165.65,90155.47,1,1,0
193,2025-11-30 12:00,SHORT,B_strong,0.776,0.776,0.825,0.787,0.003,90360.0,92000.01,90336.9,1,1,1
194,2025-12-01 12:00,LONG,A_sniper,0.873,0.873,0.896,0.752,0.004,86286.01,86860.0,83822.76,1,1,1
195,2025-12-03 00:00,SHORT,F_min,0.314,0.314,0.168,0.239,0.004,93005.68,93958.58,90990.23,0,0,0
196,2025-12-04 12:00,LONG,E_weak,0.459,0.459,0.346,0.411,0.004,92078.06,93257.0,90889.0,0,0,0
197,2025-12-05 12:00,LONG,E_weak,0.463,0.463,0.358,0.45,0.004,89330.04,91478.67,88056.0,1,1,1
198,2025-12-07 12:00,LONG,A_sniper,0.826,0.826,0.83,0.778,0.5,90395.31,91760.0,87719.28,1,1,1
199,2025-12-07 12:00,SHORT,D_watch,0.5,0.5,0.371,0.303,0.826,90395.31,91760.0,87719.28,0,0,0
200,2025-12-09 00:00,LONG,D_watch,0.596,0.596,0.573,0.427,0.005,90384.55,90846.26,89500.0,1,1,1
201,2025-12-09 12:00,SHORT,C_signal,0.602,0.602,0.264,0.219,0.004,92678.8,94588.99,90004.73,1,1,1
202,2025-12-11 00:00,LONG,F_min,0.335,0.335,0.216,0.249,0.005,90242.35,92080.32,89389.63,0,0,0
203,2025-12-11 12:00,LONG,A_sniper,0.822,0.822,0.752,0.637,0.007,92513.38,93555.0,89260.63,0,0,0
204,2025-12-14 00:00,LONG,F_min,0.334,0.334,0.238,0.225,0.003,89360.0,90472.4,88687.27,0,0,0
205,2025-12-17 12:00,LONG,F_min,0.376,0.376,0.356,0.309,0.918,86243.22,90365.85,85314.0,0,0,0
206,2025-12-17 12:00,SHORT,A_sniper,0.918,0.918,0.881,0.882,0.376,86243.22,90365.85,85314.0,1,1,1
207,2025-12-18 12:00,LONG,C_signal,0.645,0.645,0.551,0.509,0.004,85516.41,89477.61,84450.01,1,1,1
208,2025-12-21 12:00,LONG,E_weak,0.484,0.484,0.351,0.355,0.005,88658.86,88920.01,87600.04,1,0,0
209,2025-12-22 12:00,SHORT,D_watch,0.591,0.591,0.792,0.625,0.004,88620.79,90588.23,87911.79,1,1,0
210,2025-12-23 12:00,LONG,F_min,0.311,0.311,0.202,0.303,0.004,87486.0,88372.35,86601.9,0,0,0
211,2025-12-24 12:00,LONG,D_watch,0.52,0.52,0.376,0.439,0.005,87669.45,88049.89,86420.0,1,1,0
212,2025-12-25 12:00,SHORT,C_signal,0.698,0.698,0.747,0.761,0.003,87225.27,88592.74,86934.72,0,0,0
213,2025-12-26 00:00,LONG,E_weak,0.452,0.452,0.383,0.331,0.53,88533.42,89567.75,86891.7,0,0,0
214,2025-12-26 00:00,SHORT,D_watch,0.53,0.53,0.547,0.542,0.452,88533.42,89567.75,86891.7,1,0,0
215,2025-12-29 00:00,SHORT,A_sniper,0.804,0.804,0.92,0.959,0.003,87567.66,90406.08,87567.65,1,0,0
216,2025-12-30 12:00,SHORT,F_min,0.361,0.361,0.385,0.272,0.004,88485.49,89400.0,87834.01,0,0,0
