signal_time,direction,outcome,R,entry,sl,tp,hull_1d_L49,hull_1d_L78,hull_1d_L100,hull_1d_L160,hull_12h_L49,hull_12h_L78,hull_12h_L100,hull_12h_L160,hull_4h_L49,hull_4h_L78,hull_4h_L100,hull_4h_L160,hull_1h_L49,hull_1h_L78,hull_1h_L100,hull_1h_L160,ema200_1d,ema200_4h,ema200_1h,ema200_15m,asvk_1h,asvk_4h,mh_1h_color,mh_1h_color_align,mh_4h_color,mh_4h_color_align,mh_1h_mf_align,mh_4h_mf_align,hour,weekday,session,do_align,atr_ratio_bin
2024-03-15T00:00:00+00:00,LONG,loss,-1.0,71199.0,70043.6,73740.88,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,green,neutral,red,counter,grey_from_green,counter,aligned,aligned,0,Friday,Asia,aligned,high
2024-04-18T15:00:00+00:00,LONG,loss,-1.0,62833.34,62191.04,64246.41,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,aligned,aligned,aligned,aligned,aligned,counter,counter,aligned,red,yellow_OS,green,aligned,red,counter,aligned,counter,15,Thursday,NY,counter,med
2024-04-25T17:00:00+00:00,LONG,loss,-1.0,64198.4,63343.78,66078.57,counter,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,aligned,counter,aligned,counter,counter,counter,neutral,yellow_OS,red,counter,red,counter,counter,aligned,17,Thursday,off,aligned,high
2024-06-20T16:00:00+00:00,SHORT,win,2.2,65136.22,66025.17,63180.53,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,neutral,neutral,green,counter,grey_from_red,counter,counter,aligned,16,Thursday,NY,aligned,med
2024-07-21T22:00:00+00:00,LONG,loss,-1.0,67712.99,66609.2,70141.33,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,yellow_OB,red,green,aligned,green,aligned,aligned,aligned,22,Sunday,off,counter,high
2024-07-22T20:00:00+00:00,LONG,loss,-1.0,67468.0,66882.79,68755.45,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,neutral,red,red,counter,grey_from_green,counter,aligned,aligned,20,Monday,off,aligned,med
2024-08-16T22:00:00+00:00,SHORT,loss,-1.0,59184.72,59607.31,58255.02,aligned,aligned,aligned,aligned,counter,counter,aligned,aligned,counter,counter,aligned,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,yellow_OB,neutral,green,counter,red,aligned,counter,counter,22,Friday,off,aligned,med
2024-08-30T18:00:00+00:00,LONG,loss,-1.0,58600.0,58158.17,59572.02,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,counter,yellow_OS,yellow_OS,red,counter,grey_from_red,aligned,aligned,counter,18,Friday,off,aligned,med
2024-10-03T09:00:00+00:00,SHORT,loss,-1.0,60814.12,61275.3,59799.52,aligned,aligned,counter,counter,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,neutral,green,green,counter,grey_from_red,counter,aligned,aligned,9,Thursday,London,aligned,med
2026-02-03T21:00:00+00:00,LONG,loss,-1.0,75291.1,74127.67,77850.64,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,counter,yellow_OS,yellow_OS,red,counter,grey_from_red,aligned,counter,counter,21,Tuesday,off,aligned,med
