symbol,tf,kind,expdir,dirR,mfe_h,confirmed,height_atr,htf_align,regime_align,bar_mom,year
BTCUSDT,1h,ASC_TRIANGLE,UP,-1,0.5277013874202702,1,6.723923505325264,0,0,0.6694220537528724,2020
BTCUSDT,1h,SYM_TRIANGLE,UP,1,0.09233686699157957,1,8.882282326579574,0,0,0.495256472101622,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,1,1.6687068831370802,1,3.0320384641308626,0,0,2.0910827023747864,2020
BTCUSDT,1h,RECTANGLE,UP,1,1.6879482034629805,1,3.2063905974914593,0,0,2.0910827023747864,2020
BTCUSDT,1h,RECTANGLE,DOWN,-1,2.2964336825871707,1,6.469413712358883,1,1,1.1669159437630925,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,-1,0.19464147892241207,1,2.2748641385488315,1,1,1.1077933711555736,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,-1,,0,2.7106569624524104,0,0,1.2134525473562503,2020
BTCUSDT,1h,ASC_TRIANGLE,UP,-1,,0,6.700751512204463,0,0,1.2134525473562503,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,-1,0.839796886334472,1,3.333032215210869,1,1,1.4716971105944685,2020
BTCUSDT,1h,TRIPLE_TOP,DOWN,-1,1.8575213423609027,1,3.1589505147791423,1,1,1.4716971105944685,2020
BTCUSDT,1h,RECTANGLE,UP,1,,0,4.080131835718541,0,0,1.4716971105944685,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,1,,0,3.5578591193886506,0,0,0.8368245229185595,2020
BTCUSDT,1h,INV_HEAD_SHOULDERS,UP,1,,0,3.5972013133181213,0,0,0.8368245229185595,2020
BTCUSDT,1h,TRIPLE_BOTTOM,UP,1,,0,3.429194087200889,0,0,0.8368245229185595,2020
BTCUSDT,1h,RECTANGLE,UP,1,,0,3.5871911907009753,0,0,0.8368245229185595,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,-1,1.9408068888534598,1,3.652118206928688,0,1,1.139605311324842,2020
BTCUSDT,1h,HEAD_SHOULDERS,DOWN,-1,7.4328349788434425,1,4.129089154381193,0,1,1.139605311324842,2020
BTCUSDT,1h,TRIPLE_TOP,DOWN,-1,7.610625980211861,1,4.010438505995758,0,1,1.139605311324842,2020
BTCUSDT,1h,RECTANGLE,UP,1,,0,4.273315836538782,1,0,1.139605311324842,2020
BTCUSDT,1h,SYM_TRIANGLE,UP,1,,0,5.9325403799291845,1,0,0.6956677479054983,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,1,4.713577358070146,1,2.4787034662352525,0,1,0.9987176705005001,2020
BTCUSDT,1h,SYM_TRIANGLE,UP,1,,0,5.078428018128959,1,0,0.9987176705005001,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,1,0.4219833216115749,1,2.8236932305055666,0,0,1.258505291924317,2020
BTCUSDT,1h,RECTANGLE,DOWN,-1,6.732644526340779,1,6.164002061182474,1,1,3.3271332028042635,2020
BTCUSDT,1h,RECTANGLE,DOWN,-1,0.2861642407776378,1,4.634496835724798,1,1,0.9214165812499042,2020
BTCUSDT,1h,HEAD_SHOULDERS,DOWN,1,0.19192306872214815,1,5.195537091988128,1,1,1.0148684470821034,2020
BTCUSDT,1h,RECTANGLE,DOWN,1,0.37516100723950785,1,4.6422587297776,1,1,1.0148684470821034,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,-1,,0,4.191326019938337,0,0,0.8979461104215869,2020
BTCUSDT,1h,DESC_TRIANGLE,DOWN,1,0.20940137907609024,1,11.411505286077784,1,1,0.8979461104215869,2020
BTCUSDT,1h,DESC_TRIANGLE,DOWN,1,0.3960031731272573,1,5.725514061232337,1,1,1.210789843456228,2020
BTCUSDT,1h,RECTANGLE,DOWN,1,,0,3.7752137603960088,1,1,0.6067749674314631,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,0,,0,4.5332469857717,1,1,1.1703777070912942,2020
BTCUSDT,1h,ASC_TRIANGLE,UP,1,0.060676743075394314,1,16.231455340361368,0,0,1.1703777070912942,2020
BTCUSDT,1h,SYM_TRIANGLE,DOWN,1,0.09710654359733022,1,14.447718603286285,1,1,1.3186619718309853,2020
BTCUSDT,1h,ASC_TRIANGLE,UP,-1,0.3800360044639864,1,8.62108220523055,0,0,1.000438868626945,2020
BTCUSDT,1h,SYM_TRIANGLE,DOWN,-1,0.7950271090533299,1,7.267482556512181,1,1,0.8734197452644155,2020
BTCUSDT,1h,RECTANGLE,UP,-1,0.6535945088690317,1,5.501939348646638,0,0,0.6886495314383458,2020
BTCUSDT,1h,INV_HEAD_SHOULDERS,UP,-1,,0,3.004678290980955,0,0,4.642386190734363,2020
BTCUSDT,1h,RECTANGLE,DOWN,1,1.3657974004575593,1,3.0907014728623947,1,1,4.642386190734363,2020
BTCUSDT,1h,RECTANGLE,DOWN,1,1.0478507475255454,1,3.384823686777582,1,1,3.0589657770690586,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,1,0.5873437568050174,1,2.1252103201494155,0,0,1.819076739996367,2020
BTCUSDT,1h,ASC_TRIANGLE,UP,1,0.19395678549982512,1,10.214551598113454,0,0,1.5978558872018132,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,1,,0,3.048608167302531,1,1,1.061396071781826,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,1,2.7788163252932887,1,4.046762547901677,0,0,0.9405084587344611,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,-1,,0,4.44028603268945,1,1,0.7166604754829128,2020
BTCUSDT,1h,HEAD_SHOULDERS,DOWN,-1,,0,4.595235884101044,1,1,0.7166604754829128,2020
BTCUSDT,1h,TRIPLE_TOP,DOWN,-1,,0,4.293245418524024,1,1,0.7166604754829128,2020
BTCUSDT,1h,RECTANGLE,UP,1,3.000648180713204,1,4.434970413180499,0,0,0.7166604754829128,2020
