is_null,symbol,tf,arm,kind,end_dir,rev_R,mfe_rev_atr,mae_atr,sagitta_atr,depth_atr,a_norm,arc_gain,r2_quad,L,apex_pos,mtf_up,regime,year
0,BTCUSDT,1h,2021-07-22T13:00:00+00:00,ROUNDING_TOP,DOWN,1.0,6.188,0.49,1.63,8.7,-0.00645,0.103,0.912,45,0.87,2,-1,2021
0,BTCUSDT,1h,2021-07-24T15:00:00+00:00,ROUNDING_TOP,DOWN,1.0,4.337,0.822,1.74,7.45,-0.034764,0.275,0.87,20,0.7,3,-1,2021
0,BTCUSDT,1h,2021-07-26T03:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,2.385,3.558,2.07,6.61,0.041388,0.387,0.892,20,0.35,3,1,2021
0,BTCUSDT,1h,2021-07-26T15:00:00+00:00,ROUNDING_TOP,DOWN,1.0,3.34,3.662,2.0,7.21,-0.039938,0.24,0.892,20,0.7,2,1,2021
0,BTCUSDT,1h,2021-07-31T17:00:00+00:00,ROUNDING_TOP,DOWN,1.0,3.572,4.337,2.56,8.87,-0.022784,0.293,0.87,30,0.7,2,1,2021
0,BTCUSDT,1h,2021-08-05T03:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,5.608,6.157,1.59,6.15,-0.031837,0.258,0.955,20,0.7,3,1,2021
0,BTCUSDT,1h,2021-08-12T19:00:00+00:00,ROUNDING_TOP,DOWN,1.0,8.144,1.113,1.62,5.45,-0.006414,0.423,0.876,45,0.36,1,1,2021
0,BTCUSDT,1h,2021-08-14T05:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,5.85,1.792,1.97,11.11,0.007801,0.119,0.805,45,0.18,3,1,2021
0,BTCUSDT,1h,2021-08-21T01:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,2.034,3.022,1.88,10.89,0.003551,0.129,0.886,65,0.18,3,1,2021
0,BTCUSDT,1h,2021-08-22T19:00:00+00:00,ROUNDING_TOP,DOWN,1.0,5.021,4.125,2.11,7.63,-0.003993,0.411,0.8,65,0.63,1,1,2021
0,BTCUSDT,1h,2021-08-26T07:00:00+00:00,ROUNDING_TOP,DOWN,0.0,,,1.83,4.46,-0.036697,0.793,0.883,20,0.45,1,1,2021
0,BTCUSDT,1h,2021-08-27T23:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,3.17,1.364,1.83,5.53,0.007223,0.483,0.835,45,0.38,3,1,2021
0,BTCUSDT,1h,2021-09-03T05:00:00+00:00,ROUNDING_TOP,DOWN,1.0,3.711,0.575,1.86,6.8,-0.007367,0.317,0.805,45,0.67,3,1,2021
0,BTCUSDT,1h,2021-09-08T10:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,1.2,2.989,2.52,9.77,-0.004768,0.239,0.833,65,0.29,0,-1,2021
0,BTCUSDT,1h,2021-09-18T19:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,0.407,4.565,1.73,5.26,-0.034628,0.521,0.83,20,0.6,2,1,2021
0,BTCUSDT,1h,2021-09-30T15:00:00+00:00,ROUNDING_TOP,DOWN,1.0,10.012,0.711,1.57,5.32,-0.031402,0.313,0.825,20,0.65,2,-1,2021
0,BTCUSDT,1h,2021-10-02T16:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,4.105,3.076,3.74,16.66,-0.014767,0.147,0.876,45,0.8,3,-1,2021
